model_id,model_description,season,period_games,actual_period_net,predicted_period_net,period_error,period_abs_error,period_squared_error
benchmark_prior_1,Current season before date + 1 prior season,2024-25,1321,1.9537650832013065,1.6225321505213834,-0.33123293267992304,0.33123293267992304,0.10971525569174242
prior_2,Current season before date + 2 prior seasons,2024-25,1321,1.9537650832013065,1.5748561726234265,-0.37890891057788,0.37890891057788,0.14357196251531587
prior_3,Current season before date + 3 prior seasons,2024-25,1321,1.9537650832013065,1.562670546273589,-0.39109453692771745,0.39109453692771745,0.15295493681470576
prior_4,Current season before date + 4 prior seasons,2024-25,1321,1.9537650832013065,1.5491982203285264,-0.4045668628727801,0.4045668628727801,0.16367434653472285
rolling_1000_games,Current season before date + enough prior games for 1000 total games,2024-25,1321,1.9537650832013065,1.6426406637222541,-0.31112441947905234,0.31112441947905234,0.09679840439617732
rolling_2000_games,Current season before date + enough prior games for 2000 total games,2024-25,1321,1.9537650832013065,1.583901824507363,-0.36986325869394343,0.36986325869394343,0.1367988301317029
