model_id,model_description,games,corr,mae,rmse,bias
benchmark_prior_1,Current season before date + 1 prior season,1321,0.9715762442225582,3.025537512863675,3.807370367828004,-0.33123293267992315
prior_2,Current season before date + 2 prior seasons,1321,0.9715700593284433,3.028979491704165,3.8176641479543076,-0.3789089105778799
rolling_2000_games,Current season before date + enough prior games for 2000 total games,1321,0.97157436483379,3.029597767306174,3.8116413505760276,-0.3698632586939432
rolling_1000_games,Current season before date + enough prior games for 1000 total games,1321,0.9714550426167439,3.0300741812039504,3.816424309076594,-0.3111244194790524
prior_3,Current season before date + 3 prior seasons,1321,0.9714768619572759,3.0354217855166605,3.822460074602126,-0.3910945369277175
prior_4,Current season before date + 4 prior seasons,1321,0.971439926162991,3.0354420269227775,3.824205378313737,-0.4045668628727802
