team,split_games,points_for,points_against,off_poss,def_poss,opp_mean_off_rating,opp_mean_def_rating,opp_mean_net_rating,split_type,bucket,bucket_is_gt_115,split_off_rating,split_def_rating,split_net_rating,games,base_off_rating,base_def_rating,base_net_rating,split_game_share
ATL,33,4061,3739,3378.0,3370.0,112.80883271939973,118.78520291817773,-5.976370198778007,opp_def_rating,opp_gt_115,1,120.21906453522794,110.94955489614244,9.269509639085499,82,115.12206684048351,112.94955489614242,2.172511944341096,0.4024390243902439
BKN,32,3547,3605,3037.0,3037.0,113.18877594909642,118.60527818028848,-5.416502231192053,opp_def_rating,opp_gt_115,1,116.79288771814291,118.7026671056964,-1.909779387553499,82,109.50579929399899,119.65005035246728,-10.144251058468285,0.3902439024390244
BOS,34,4052,3555,3264.0,3274.0,112.8619201404841,118.72792554771821,-5.86600540723413,opp_def_rating,opp_gt_115,1,124.1421568627451,108.58277336591327,15.559383496831828,82,119.97452229299364,111.72282263191353,8.25169966108011,0.4146341463414634
CHA,35,4236,3866,3444.0,3446.0,112.84532277952916,118.74208199239054,-5.896759212861402,opp_def_rating,opp_gt_115,1,122.99651567944252,112.18804410911201,10.80847157033051,82,118.40926064227035,113.48020911127708,4.929051530993277,0.4268292682926829
CHI,32,3842,3864,3335.0,3324.0,112.99010974221127,118.86455225067797,-5.874442508466695,opp_def_rating,opp_gt_115,1,115.20239880059971,116.24548736462094,-1.0430885640212324,82,112.12085586644722,117.41692198915861,-5.2960661227113945,0.3902439024390244
CLE,35,4308,3993,3538.0,3538.0,112.84532277952916,118.74208199239054,-5.896759212861402,opp_def_rating,opp_gt_115,1,121.76370830977955,112.86037309214245,8.903335217637093,82,118.28385228095584,114.14787118562298,4.135981095332866,0.4268292682926829
DAL,38,4454,4543,3848.0,3860.0,114.12644167957768,118.47096483776355,-4.3445231581858765,opp_def_rating,opp_gt_115,1,115.74844074844076,117.69430051813472,-1.9458597696939677,82,111.72397325692454,116.95278969957081,-5.228816442646277,0.4634146341463415
DEN,35,4313,4062,3512.0,3513.0,112.86866687596704,118.7122491834023,-5.843582307435252,opp_def_rating,opp_gt_115,1,122.80751708428245,115.6276686592656,7.179848425016857,82,121.2011139363119,116.02129719264278,5.179816743669122,0.4268292682926829
DET,36,4370,3960,3625.0,3636.0,112.75255823826441,118.76730333572601,-6.014745097461593,opp_def_rating,opp_gt_115,1,120.55172413793103,108.91089108910892,11.640833048822117,82,117.32474790426437,108.9058524173028,8.418895486961574,0.43902439024390244
GSW,39,4567,4428,3922.0,3923.0,113.99682939859206,118.35321061395959,-4.3563812153675165,opp_def_rating,opp_gt_115,1,116.44569097399287,112.87280142747898,3.572889546513892,82,113.9427740058196,114.45885347230637,-0.5160794664867723,0.47560975609756095
HOU,41,4834,4554,4029.0,4032.0,113.81182420729573,118.37526996414229,-4.563445756846587,opp_def_rating,opp_gt_115,1,119.98014395631671,112.94642857142858,7.033715384888126,82,117.49564784879382,112.13175885643255,5.363888992361268,0.5
IND,31,3526,3666,3157.0,3161.0,113.1154234881959,118.7595626873304,-5.644139199134517,opp_def_rating,opp_gt_115,1,111.68831168831169,115.97595697564063,-4.287645287328942,82,110.75204228736185,118.6066066066066,-7.8545643192447585,0.3780487804878049
LAC,36,4232,4064,3582.0,3582.0,113.47871993651928,118.67626665216984,-5.197546715650557,opp_def_rating,opp_gt_115,1,118.14628699050809,113.45616973757677,4.690117252931316,82,116.33620152138671,115.20518897343146,1.131012547955251,0.43902439024390244
LAL,36,4414,4088,3529.0,3529.0,113.25775909439567,118.55727433242967,-5.299515238034011,opp_def_rating,opp_gt_115,1,125.0779257580051,115.84018135449136,9.23774440351373,82,118.46516826027566,116.9529499626587,1.512218297616954,0.43902439024390244
MEM,37,4391,4359,3783.0,3777.0,113.96349748551778,118.36783477304985,-4.4043372875320905,opp_def_rating,opp_gt_115,1,116.0719006079831,115.40905480540111,0.6628458025819839,82,112.40884638374177,118.44404548174745,-6.035199098005677,0.45121951219512196
MIA,33,4143,3829,3486.0,3491.0,112.88807685795877,118.71753236171384,-5.829455503755071,opp_def_rating,opp_gt_115,1,118.84681583476764,109.68203953022058,9.164776304547061,82,115.82330255930817,113.72411372411374,2.0991888351944397,0.4024390243902439
MIL,32,3641,3635,3094.0,3096.0,112.6556631826076,118.65225435387852,-5.9965911712709214,opp_def_rating,opp_gt_115,1,117.67937944408533,117.4095607235142,0.26981872057112355,82,113.52771868351897,119.68769519050593,-6.159976506986965,0.3902439024390244
MIN,41,4977,4704,4111.0,4098.0,113.81182420729573,118.37526996414229,-4.563445756846587,opp_def_rating,opp_gt_115,1,121.06543420092434,114.78770131771596,6.277732883208387,82,117.08615682478218,113.92389723703344,3.1622595877487356,0.5
NOP,36,4308,4282,3720.0,3714.0,113.69948106028794,118.15650426895364,-4.4570232086657064,opp_def_rating,opp_gt_115,1,115.80645161290322,115.29348411416262,0.5129674987405934,82,114.74079457364341,119.16696936675142,-4.426174793108004,0.43902439024390244
NYK,34,4125,3708,3374.0,3370.0,112.82054182233492,118.66113810061977,-5.840596278284848,opp_def_rating,opp_gt_115,1,122.25844694724364,110.02967359050446,12.228773356739183,82,118.68008948545861,112.31343283582089,6.366656649637719,0.4146341463414634
