model_id,model_description,season,period_games,actual_period_net,predicted_period_net,period_error,period_abs_error,period_squared_error
benchmark_prior_1,Current season before date + 1 prior season,2001-02,1260,3.518829564390727,3.3754430064489664,-0.14338655794176036,0.14338655794176036,0.020559704998385803
benchmark_prior_1,Current season before date + 1 prior season,2002-03,1277,4.024405783670519,4.144542799505618,0.12013701583509828,0.12013701583509828,0.014432902573762655
benchmark_prior_1,Current season before date + 1 prior season,2003-04,1271,4.0090075479865455,3.925777650620075,-0.08322989736647024,0.08322989736647024,0.00692721581563317
benchmark_prior_1,Current season before date + 1 prior season,2004-05,1314,3.3285703633429815,3.3527312804442855,0.02416091710130397,0.02416091710130397,0.0005837499151760826
benchmark_prior_1,Current season before date + 1 prior season,2005-06,1319,3.6523180212922437,3.7081238206171947,0.055805799324951,0.055805799324951,0.0031142872382967013
benchmark_prior_1,Current season before date + 1 prior season,2006-07,1309,3.180030487560434,3.1400392439049005,-0.03999124365553364,0.03999124365553364,0.0015992995691162593
benchmark_prior_1,Current season before date + 1 prior season,2007-08,1316,3.8643929205490144,3.966643100072133,0.10225017952311877,0.10225017952311877,0.010455099212510017
benchmark_prior_1,Current season before date + 1 prior season,2008-09,1315,3.4738867846781503,3.4857054153046696,0.011818630626519333,0.011818630626519333,0.00013968002988610077
benchmark_prior_1,Current season before date + 1 prior season,2009-10,1312,2.958258687783335,2.8553921910117777,-0.10286649677155735,0.10286649677155735,0.010581516158052818
benchmark_prior_1,Current season before date + 1 prior season,2010-11,1311,3.359324744307854,3.1870232628576707,-0.1723014814501833,0.1723014814501833,0.029687800509927864
benchmark_prior_1,Current season before date + 1 prior season,2011-12,1074,3.0785735959059592,2.9989141445058483,-0.07965945140011099,0.07965945140011099,0.0063456281973666455
benchmark_prior_1,Current season before date + 1 prior season,2012-13,1314,3.4714834874132205,3.507324155922753,0.03584066850953249,0.03584066850953249,0.001284553519210194
benchmark_prior_1,Current season before date + 1 prior season,2013-14,1319,2.722140798083823,2.6782372447415477,-0.04390355334227536,0.04390355334227536,0.0019275219960780178
benchmark_prior_1,Current season before date + 1 prior season,2014-15,1311,2.405833025076285,2.4445109335977246,0.03867790852143971,0.03867790852143971,0.0014959806075928585
benchmark_prior_1,Current season before date + 1 prior season,2015-16,1316,3.0999082435581276,3.033850315894507,-0.0660579276636204,0.0660579276636204,0.004363649807212105
benchmark_prior_1,Current season before date + 1 prior season,2016-17,1309,3.144905877061122,3.1118395795207343,-0.0330662975403877,0.0330662975403877,0.0010933800330294498
benchmark_prior_1,Current season before date + 1 prior season,2017-18,1312,2.3776601987551222,2.439287577241946,0.06162737848682376,0.06162737848682376,0.003797933779158228
benchmark_prior_1,Current season before date + 1 prior season,2018-19,1312,2.6484321531905897,2.5793005623940575,-0.0691315907965322,0.0691315907965322,0.0047791768460591745
benchmark_prior_1,Current season before date + 1 prior season,2019-20,1143,2.0410638880249863,2.044721381359034,0.0036574933340478566,0.0036574933340478566,1.3377257488604505e-05
benchmark_prior_1,Current season before date + 1 prior season,2020-21,1171,1.1763233506481092,1.137859385969348,-0.03846396467876123,0.03846396467876123,0.0014794765788089916
benchmark_prior_1,Current season before date + 1 prior season,2021-22,1323,1.8716298572127739,1.9905658873056218,0.11893603009284792,0.11893603009284792,0.014145779254246826
benchmark_prior_1,Current season before date + 1 prior season,2022-23,1320,2.6156805486806163,2.49256051747447,-0.12312003120614623,0.12312003120614623,0.015158542084202422
benchmark_prior_1,Current season before date + 1 prior season,2023-24,1319,2.30700105278874,2.032334805478016,-0.2746662473107242,0.2746662473107242,0.0754415474117559
benchmark_prior_1,Current season before date + 1 prior season,2024-25,1321,1.9537650832013065,1.6225321505213834,-0.33123293267992304,0.33123293267992304,0.10971525569174242
benchmark_prior_1,Current season before date + 1 prior season,2025-26,785,1.6055137831185364,1.2271168857137482,-0.3783968974047882,0.3783968974047882,0.14318421196556982
prior_2,Current season before date + 2 prior seasons,2001-02,1260,3.518829564390727,3.3754430064489664,-0.14338655794176036,0.14338655794176036,0.020559704998385803
prior_2,Current season before date + 2 prior seasons,2002-03,1277,4.024405783670519,4.180349638668406,0.15594385499788643,0.15594385499788643,0.02431848591160183
prior_2,Current season before date + 2 prior seasons,2003-04,1271,4.0090075479865455,3.938088745734238,-0.07091880225230751,0.07091880225230751,0.005029476512901897
prior_2,Current season before date + 2 prior seasons,2004-05,1314,3.3285703633429815,3.3668879069739153,0.03831754363093376,0.03831754363093376,0.0014682341499085124
prior_2,Current season before date + 2 prior seasons,2005-06,1319,3.6523180212922437,3.7849525402143174,0.13263451892207367,0.13263451892207367,0.01759191560968992
prior_2,Current season before date + 2 prior seasons,2006-07,1309,3.180030487560434,3.143451118740908,-0.03657936881952617,0.03657936881952617,0.0013380502232349233
prior_2,Current season before date + 2 prior seasons,2007-08,1316,3.8643929205490144,3.9389307509563842,0.07453783040736983,0.07453783040736983,0.005555888161837826
prior_2,Current season before date + 2 prior seasons,2008-09,1315,3.4738867846781503,3.4766244237177513,0.002737639039601003,0.002737639039601003,7.494667511147502e-06
prior_2,Current season before date + 2 prior seasons,2009-10,1312,2.958258687783335,2.887656836538469,-0.07060185124486607,0.07060185124486607,0.004984621399202196
prior_2,Current season before date + 2 prior seasons,2010-11,1311,3.359324744307854,3.1897461446929287,-0.16957859961492527,0.16957859961492527,0.028756901447359134
prior_2,Current season before date + 2 prior seasons,2011-12,1074,3.0785735959059592,2.972929120610214,-0.10564447529574528,0.10564447529574528,0.011160755160513335
prior_2,Current season before date + 2 prior seasons,2012-13,1314,3.4714834874132205,3.4426167444202362,-0.028866742992984307,0.028866742992984307,0.0008332888510230085
prior_2,Current season before date + 2 prior seasons,2013-14,1319,2.722140798083823,2.705731679111002,-0.016409118972820824,0.016409118972820824,0.0002692591854641883
prior_2,Current season before date + 2 prior seasons,2014-15,1311,2.405833025076285,2.471574592990713,0.06574156791442798,0.06574156791442798,0.0043219537518473464
prior_2,Current season before date + 2 prior seasons,2015-16,1316,3.0999082435581276,3.0538408891248063,-0.04606735443332122,0.04606735443332122,0.00212220114448524
prior_2,Current season before date + 2 prior seasons,2016-17,1309,3.144905877061122,3.160172654619555,0.015266777558433198,0.015266777558433198,0.00023307449701867952
prior_2,Current season before date + 2 prior seasons,2017-18,1312,2.3776601987551222,2.457139052201845,0.07947885344672256,0.07947885344672256,0.006316888145205603
prior_2,Current season before date + 2 prior seasons,2018-19,1312,2.6484321531905897,2.5965539063623972,-0.05187824682819242,0.05187824682819242,0.0026913524939668567
prior_2,Current season before date + 2 prior seasons,2019-20,1143,2.0410638880249863,2.0226080403849918,-0.018455847639994527,0.018455847639994527,0.00034061831211069156
prior_2,Current season before date + 2 prior seasons,2020-21,1171,1.1763233506481092,1.1458237475744326,-0.030499603073676607,0.030499603073676607,0.0009302257876518236
