model_id,model_description,games,corr,mae,rmse,bias
rolling_2000_games,Current season before date + enough prior games for 2000 total games,31653,0.9633921012552895,3.015040622221821,3.8103625594396666,-0.060052286458888667
prior_2,Current season before date + 2 prior seasons,31653,0.9633922321461679,3.015129297502289,3.810565855852559,-0.04975670841733518
benchmark_prior_1,Current season before date + 1 prior season,31653,0.9633978241689332,3.015471381882048,3.810010772051357,-0.05116137494707204
prior_3,Current season before date + 3 prior seasons,31653,0.9633682831761513,3.0163740504195804,3.8120029657737695,-0.04184548411720039
rolling_1000_games,Current season before date + enough prior games for 1000 total games,31653,0.9633515172461815,3.0166758951743486,3.812348663027647,-0.060493632103038195
prior_4,Current season before date + 4 prior seasons,31653,0.9633481981268351,3.0174761958434613,3.813395005536981,-0.033693950856885375
