model_id,model_description,periods,period_corr,period_mae,period_rmse,period_bias
benchmark_prior_1,Current season before date + 1 prior season,25,0.9891931097553748,0.1020954637025783,0.1388966912565262,-0.05626250199412366
rolling_1000_games,Current season before date + enough prior games for 1000 total games,25,0.9900298450995723,0.10367482564476074,0.1370310982656853,-0.06432156068462853
prior_2,Current season before date + 2 prior seasons,25,0.9881387478018794,0.10501752415792914,0.1490703154213889,-0.055735032044944344
rolling_2000_games,Current season before date + enough prior games for 2000 total games,25,0.9891384275680913,0.10589006209569074,0.1460980607755971,-0.06515699215685103
prior_3,Current season before date + 3 prior seasons,25,0.9858167292301117,0.11087699260545802,0.1596167247065542,-0.04849107176454479
prior_4,Current season before date + 4 prior seasons,25,0.9842836433869426,0.12085234136861821,0.1670303787990961,-0.04103020303534184
