season,team,4th quarter net rating
2024-25,Miami Heat,-3.8
2024-25,Milwaukee Bucks,1.6
2024-25,Minnesota Timberwolves,8.9
2024-25,New Orleans Pelicans,-4.0
2024-25,New York Knicks,-4.7
2024-25,Oklahoma City Thunder,9.1
2024-25,Orlando Magic,3.3
2024-25,Philadelphia 76ers,-7.0
2024-25,Phoenix Suns,-2.2
2024-25,Portland Trail Blazers,-5.6
2024-25,Sacramento Kings,0.2
2024-25,San Antonio Spurs,-1.7
2024-25,Toronto Raptors,-3.1
2024-25,Utah Jazz,-9.8
2024-25,Washington Wizards,-10.1
2025-26,Atlanta Hawks,4.6
2025-26,Boston Celtics,4.7
2025-26,Brooklyn Nets,-6.1
2025-26,Charlotte Hornets,-4.9
2025-26,Chicago Bulls,-1.6
2025-26,Cleveland Cavaliers,5.8
2025-26,Dallas Mavericks,-0.2
2025-26,Denver Nuggets,-2.8
2025-26,Detroit Pistons,5.2
2025-26,Golden State Warriors,4.0
2025-26,Houston Rockets,-0.9
2025-26,Indiana Pacers,-4.8
2025-26,LA Clippers,-0.1
2025-26,Los Angeles Lakers,7.1
2025-26,Memphis Grizzlies,-4.9
2025-26,Miami Heat,3.2
2025-26,Milwaukee Bucks,-0.7
2025-26,Minnesota Timberwolves,8.2
2025-26,New Orleans Pelicans,-1.7
2025-26,New York Knicks,10.2
2025-26,Oklahoma City Thunder,8.8
2025-26,Orlando Magic,0.4
2025-26,Philadelphia 76ers,5.1
2025-26,Phoenix Suns,-6.2
2025-26,Portland Trail Blazers,-5.9
2025-26,Sacramento Kings,-13.4
2025-26,San Antonio Spurs,4.3
2025-26,Toronto Raptors,-2.3
2025-26,Utah Jazz,-4.9
2025-26,Washington Wizards,-10.7
