season,team,wins,losses,avg points scored,avg points allowed,offensive rating,defensive rating
2013-14,Miami Heat,54,28,102.2,97.4,110.0,105.0
2013-14,Milwaukee Bucks,15,67,95.5,103.7,101.9,110.2
2013-14,Minnesota Timberwolves,40,42,106.9,104.3,107.7,105.2
2013-14,New Orleans Pelicans,34,48,99.7,102.4,106.2,109.1
2013-14,New York Knicks,37,45,98.6,99.4,107.0,108.1
2013-14,Oklahoma City Thunder,59,23,106.2,99.8,109.4,103.0
2013-14,Orlando Magic,23,59,96.5,102.0,101.0,106.6
2013-14,Philadelphia 76ers,19,63,99.5,109.9,99.0,109.0
2013-14,Phoenix Suns,48,34,105.2,102.6,108.2,105.6
2013-14,Portland Trail Blazers,54,28,106.7,102.8,110.4,106.2
2013-14,Sacramento Kings,28,54,100.5,103.4,105.1,107.8
2013-14,San Antonio Spurs,62,20,105.4,97.6,109.5,101.4
2013-14,Toronto Raptors,48,34,101.3,98.0,107.9,104.6
2013-14,Utah Jazz,25,57,95.0,102.2,102.4,110.1
2013-14,Washington Wizards,44,38,100.7,99.4,104.9,103.6
2014-15,Atlanta Hawks,60,22,102.5,97.1,108.2,102.3
2014-15,Boston Celtics,40,42,101.4,101.2,103.8,103.5
2014-15,Brooklyn Nets,38,44,98.0,100.9,103.4,106.3
2014-15,Charlotte Hornets,33,49,94.2,97.3,99.6,103.0
2014-15,Chicago Bulls,50,32,100.8,97.8,106.3,103.3
2014-15,Cleveland Cavaliers,53,29,103.1,98.7,110.1,105.3
2014-15,Dallas Mavericks,50,32,105.2,102.3,108.2,104.9
2014-15,Denver Nuggets,30,52,101.5,105.0,103.9,107.1
2014-15,Detroit Pistons,32,50,98.5,99.5,104.3,105.4
2014-15,Golden State Warriors,67,15,110.0,99.9,110.4,100.4
2014-15,Houston Rockets,56,26,103.9,100.5,106.0,102.6
2014-15,Indiana Pacers,38,44,97.3,97.0,102.9,102.7
2014-15,Los Angeles Clippers,56,26,106.7,100.1,111.6,104.7
2014-15,Los Angeles Lakers,21,61,98.5,105.3,102.3,109.4
2014-15,Memphis Grizzlies,55,27,98.3,95.1,104.8,101.2
2014-15,Miami Heat,37,45,94.7,97.3,103.2,106.1
2014-15,Milwaukee Bucks,41,41,97.8,97.4,102.0,101.4
2014-15,Minnesota Timberwolves,16,66,97.8,106.5,101.8,110.9
2014-15,New Orleans Pelicans,45,37,99.4,98.6,107.1,106.3
2014-15,New York Knicks,17,65,91.9,101.2,98.9,109.0
2014-15,Oklahoma City Thunder,45,37,104.0,101.8,106.7,104.6
2014-15,Orlando Magic,25,57,95.7,101.4,101.0,106.8
2014-15,Philadelphia 76ers,18,64,92.0,101.0,94.9,103.9
2014-15,Phoenix Suns,39,43,102.4,103.3,104.2,105.3
2014-15,Portland Trail Blazers,51,31,102.8,98.6,107.1,102.8
2014-15,Sacramento Kings,29,53,101.3,105.0,104.5,108.2
2014-15,San Antonio Spurs,55,27,103.2,97.0,107.6,101.4
2014-15,Toronto Raptors,49,33,104.0,100.9,110.2,107.1
2014-15,Utah Jazz,38,44,95.1,94.9,104.2,104.1
2014-15,Washington Wizards,46,36,98.5,97.8,103.0,102.4
2015-16,Atlanta Hawks,48,34,102.8,99.2,104.6,100.8
2015-16,Boston Celtics,48,34,105.7,102.5,105.8,102.5
2015-16,Brooklyn Nets,21,61,98.6,106.0,102.4,109.7
2015-16,Charlotte Hornets,48,34,103.4,100.7,106.4,103.7
2015-16,Chicago Bulls,42,40,101.6,103.1,104.1,105.5
2015-16,Cleveland Cavaliers,57,25,104.3,98.3,110.2,103.9
2015-16,Dallas Mavericks,42,40,102.3,102.6,105.5,105.9
2015-16,Denver Nuggets,33,49,101.9,105.0,104.9,108.2
2015-16,Detroit Pistons,44,38,102.0,101.4,105.3,104.9
2015-16,Golden State Warriors,73,9,114.9,104.1,113.5,102.8
2015-16,Houston Rockets,41,41,106.5,106.4,107.3,107.3
2015-16,Indiana Pacers,45,37,102.2,100.5,103.8,102.2
2015-16,LA Clippers,53,29,104.5,100.2,107.2,102.7
2015-16,Los Angeles Lakers,17,65,97.3,106.9,100.7,110.3
2015-16,Memphis Grizzlies,42,40,99.1,101.3,104.7,107.1
2015-16,Miami Heat,48,34,100.0,98.4,105.5,103.7
2015-16,Milwaukee Bucks,33,49,99.0,103.2,103.4,107.8
2015-16,Minnesota Timberwolves,29,53,102.4,106.0,105.4,109.0
2015-16,New Orleans Pelicans,30,52,102.7,106.5,104.8,108.4
2015-16,New York Knicks,32,50,98.4,101.1,103.9,106.7
2015-16,Oklahoma City Thunder,55,27,110.2,102.9,112.1,104.8
2015-16,Orlando Magic,35,47,102.1,103.7,104.4,106.0
2015-16,Philadelphia 76ers,10,72,97.4,107.6,98.4,108.6
2015-16,Phoenix Suns,23,59,100.9,107.5,101.5,107.9
2015-16,Portland Trail Blazers,44,38,105.1,104.3,107.6,106.8
2015-16,Sacramento Kings,33,49,106.6,109.1,105.3,107.6
2015-16,San Antonio Spurs,67,15,103.5,92.9,109.3,98.2
2015-16,Toronto Raptors,56,26,102.7,98.2,109.3,104.8
2015-16,Utah Jazz,40,42,97.7,95.9,105.0,103.2
2015-16,Washington Wizards,41,41,104.1,104.6,104.5,105.1
2016-17,Atlanta Hawks,43,39,103.2,104.0,104.5,105.2
2016-17,Boston Celtics,53,29,108.0,105.4,110.6,108.0
2016-17,Brooklyn Nets,20,62,105.8,112.5,103.6,110.1
2016-17,Charlotte Hornets,36,46,104.9,104.7,108.4,108.4
2016-17,Chicago Bulls,41,41,102.9,102.4,106.5,106.2
2016-17,Cleveland Cavaliers,51,31,110.3,107.2,112.8,109.7
2016-17,Dallas Mavericks,33,49,97.9,100.8,104.7,107.7
2016-17,Denver Nuggets,40,42,111.7,111.2,112.2,111.7
2016-17,Detroit Pistons,37,45,101.3,102.5,105.3,106.7
2016-17,Golden State Warriors,67,15,115.9,104.3,114.8,103.4
2016-17,Houston Rockets,55,27,115.3,109.6,114.1,108.4
2016-17,Indiana Pacers,42,40,105.1,105.3,107.9,108.1
2016-17,LA Clippers,51,31,108.7,104.4,111.8,107.5
2016-17,Los Angeles Lakers,26,56,104.6,111.5,105.3,112.0
2016-17,Memphis Grizzlies,43,39,100.5,100.0,107.0,106.5
2016-17,Miami Heat,41,41,103.2,102.1,107.4,106.4
2016-17,Milwaukee Bucks,42,40,103.6,103.8,108.5,108.7
2016-17,Minnesota Timberwolves,31,51,105.6,106.7,110.0,110.9
2016-17,New Orleans Pelicans,34,48,104.3,106.4,104.7,106.8
2016-17,New York Knicks,31,51,104.3,108.0,107.1,110.7
2016-17,Oklahoma City Thunder,47,35,106.6,105.8,107.9,107.1
2016-17,Orlando Magic,29,53,101.1,107.6,103.7,110.3
2016-17,Philadelphia 76ers,28,54,102.4,108.1,102.7,108.2
2016-17,Phoenix Suns,24,58,107.7,113.3,106.1,111.3
2016-17,Portland Trail Blazers,41,41,107.9,108.5,109.4,110.0
2016-17,Sacramento Kings,32,50,102.8,106.7,106.6,110.8
2016-17,San Antonio Spurs,61,21,105.3,98.1,110.3,102.9
2016-17,Toronto Raptors,51,31,106.9,102.6,111.4,107.1
2016-17,Utah Jazz,51,31,100.7,96.8,109.0,104.7
2016-17,Washington Wizards,49,33,109.2,107.4,110.4,108.8
2017-18,Atlanta Hawks,24,58,103.4,108.8,104.4,110.1
2017-18,Boston Celtics,55,27,104.0,100.4,106.8,103.2
2017-18,Brooklyn Nets,28,54,106.6,110.3,106.1,109.7
2017-18,Charlotte Hornets,36,46,108.2,108.0,109.0,109.0
2017-18,Chicago Bulls,27,55,102.9,110.0,103.4,110.5
2017-18,Cleveland Cavaliers,50,32,110.9,109.9,112.0,111.1
2017-18,Dallas Mavericks,24,58,102.3,105.4,105.4,108.4
2017-18,Denver Nuggets,46,36,110.0,108.5,111.4,110.0
2017-18,Detroit Pistons,39,43,103.8,103.9,106.6,106.7
2017-18,Golden State Warriors,58,24,113.5,107.5,112.8,106.8
2017-18,Houston Rockets,65,17,112.4,103.9,114.1,105.7
2017-18,Indiana Pacers,48,34,105.6,104.2,108.5,107.3
2017-18,LA Clippers,42,40,109.0,109.0,109.4,109.2
2017-18,Los Angeles Lakers,35,47,108.1,109.6,106.0,107.3
2017-18,Memphis Grizzlies,22,60,99.3,105.5,103.6,110.4
2017-18,Miami Heat,44,38,103.4,102.9,106.2,105.8
2017-18,Milwaukee Bucks,44,38,106.5,106.8,109.0,109.1
2017-18,Minnesota Timberwolves,47,35,109.5,107.3,112.5,110.2
2017-18,New Orleans Pelicans,48,34,111.7,110.4,108.5,107.4
2017-18,New York Knicks,29,53,104.5,108.0,106.3,109.7
2017-18,Oklahoma City Thunder,48,34,107.9,104.4,110.1,106.4
2017-18,Orlando Magic,25,57,103.4,108.2,104.7,109.4
2017-18,Philadelphia 76ers,52,30,109.8,105.3,108.5,103.9
2017-18,Phoenix Suns,21,61,103.9,113.3,102.8,111.7
2017-18,Portland Trail Blazers,49,33,105.6,103.0,108.4,105.7
2017-18,Sacramento Kings,27,55,98.8,105.8,103.1,110.4
2017-18,San Antonio Spurs,47,35,102.7,99.8,107.1,104.1
2017-18,Toronto Raptors,59,23,111.7,103.9,113.0,105.3
2017-18,Utah Jazz,48,34,104.1,99.8,107.4,103.0
2017-18,Washington Wizards,43,39,106.6,106.0,108.1,107.7
2018-19,Atlanta Hawks,29,53,113.3,119.4,107.5,113.1
2018-19,Boston Celtics,49,33,112.4,108.0,111.3,107.0
2018-19,Brooklyn Nets,42,40,112.2,112.3,108.9,109.0
2018-19,Charlotte Hornets,39,43,110.7,111.8,110.7,112.0
2018-19,Chicago Bulls,22,60,104.9,113.4,104.5,112.8
2018-19,Cleveland Cavaliers,19,63,104.5,114.1,106.8,116.8
2018-19,Dallas Mavericks,33,49,108.9,110.1,108.7,110.1
2018-19,Denver Nuggets,54,28,110.7,106.7,112.1,108.1
2018-19,Detroit Pistons,41,41,107.0,107.3,108.4,108.7
2018-19,Golden State Warriors,57,25,117.7,111.2,115.0,108.6
2018-19,Houston Rockets,53,29,113.9,109.1,114.9,110.1
2018-19,Indiana Pacers,48,34,108.0,104.7,109.4,106.0
2018-19,LA Clippers,48,34,115.1,114.3,111.4,110.4
2018-19,Los Angeles Lakers,37,45,111.8,113.5,107.4,108.9
2018-19,Memphis Grizzlies,33,49,103.5,106.1,105.6,108.0
2018-19,Miami Heat,39,43,105.7,105.9,106.7,107.1
2018-19,Milwaukee Bucks,60,22,118.1,109.3,113.5,104.9
2018-19,Minnesota Timberwolves,36,46,112.5,114.0,110.6,112.2
2018-19,New Orleans Pelicans,33,49,115.4,116.8,110.7,112.0
2018-19,New York Knicks,17,65,104.6,113.8,104.0,112.9
2018-19,Oklahoma City Thunder,49,33,114.5,111.1,109.8,106.5
2018-19,Orlando Magic,42,40,107.3,106.6,108.2,107.6
2018-19,Philadelphia 76ers,51,31,115.2,112.5,111.6,109.0
2018-19,Phoenix Suns,19,63,107.5,116.8,105.3,114.2
2018-19,Portland Trail Blazers,53,29,114.7,110.5,113.7,109.5
2018-19,Sacramento Kings,39,43,114.2,115.3,109.6,110.8
2018-19,San Antonio Spurs,48,34,111.7,110.0,112.2,110.6
2018-19,Toronto Raptors,58,24,114.4,108.4,112.6,106.8
2018-19,Utah Jazz,50,32,111.7,106.5,110.3,105.3
2018-19,Washington Wizards,32,50,114.0,116.9,110.2,112.9
2019-20,Atlanta Hawks,20,47,111.8,119.7,107.0,114.4
2019-20,Boston Celtics,48,24,113.7,107.3,112.8,106.5
2019-20,Brooklyn Nets,35,37,111.8,112.3,108.7,109.2
2019-20,Charlotte Hornets,23,42,102.9,109.6,105.9,112.8
2019-20,Chicago Bulls,22,43,106.8,109.9,105.8,108.9
2019-20,Cleveland Cavaliers,19,46,106.9,114.8,106.9,114.8
2019-20,Dallas Mavericks,43,32,117.0,112.1,115.9,111.2
2019-20,Denver Nuggets,46,27,111.3,109.2,112.6,110.4
2019-20,Detroit Pistons,20,46,107.2,110.8,108.8,112.3
2019-20,Golden State Warriors,15,50,106.3,115.0,104.4,113.0
2019-20,Houston Rockets,44,28,117.8,114.8,112.5,109.8
2019-20,Indiana Pacers,45,28,109.4,107.5,109.5,107.5
2019-20,LA Clippers,49,23,116.3,109.9,113.3,106.9
2019-20,Los Angeles Lakers,52,19,113.4,107.6,111.7,106.1
2019-20,Memphis Grizzlies,34,39,112.6,113.7,108.7,109.7
2019-20,Miami Heat,44,29,112.0,109.1,111.9,109.3
2019-20,Milwaukee Bucks,56,17,118.7,108.6,111.9,102.5
2019-20,Minnesota Timberwolves,19,45,113.2,117.5,107.6,111.6
2019-20,New Orleans Pelicans,30,42,115.8,117.1,110.5,111.8
2019-20,New York Knicks,21,45,105.8,112.3,105.9,112.4
2019-20,Oklahoma City Thunder,44,28,110.4,108.4,110.1,108.1
2019-20,Orlando Magic,33,40,107.3,108.3,107.9,109.2
2019-20,Philadelphia 76ers,43,30,110.7,108.4,110.7,108.4
2019-20,Phoenix Suns,34,39,113.6,113.4,111.3,110.8
2019-20,Portland Trail Blazers,35,39,115.0,116.1,113.2,114.3
2019-20,Sacramento Kings,31,41,110.1,112.1,109.5,111.4
2019-20,San Antonio Spurs,32,39,114.1,115.2,111.7,112.6
2019-20,Toronto Raptors,53,19,112.8,106.5,110.8,104.7
2019-20,Utah Jazz,44,28,111.3,108.8,111.8,109.3
2019-20,Washington Wizards,25,47,114.4,119.1,110.2,114.7
2020-21,Atlanta Hawks,41,31,113.7,111.4,114.3,112.1
2020-21,Boston Celtics,36,36,112.6,111.2,113.1,111.8
2020-21,Brooklyn Nets,48,24,118.6,114.1,117.3,113.1
2020-21,Charlotte Hornets,33,39,109.5,111.4,110.1,112.0
2020-21,Chicago Bulls,31,41,110.7,111.6,110.4,111.5
2020-21,Cleveland Cavaliers,22,50,103.8,112.3,105.2,113.5
2020-21,Dallas Mavericks,42,30,112.4,110.2,114.6,112.3
2020-21,Denver Nuggets,47,25,115.1,110.1,116.3,111.5
2020-21,Detroit Pistons,20,52,106.6,111.1,107.6,112.2
2020-21,Golden State Warriors,39,33,113.7,112.7,110.5,109.4
2020-21,Houston Rockets,17,55,108.8,116.7,107.0,114.4
2020-21,Indiana Pacers,34,38,115.3,115.3,111.9,111.9
2020-21,LA Clippers,47,25,114.0,107.8,116.7,110.6
2020-21,Los Angeles Lakers,42,30,109.5,106.8,109.8,106.8
2020-21,Memphis Grizzlies,38,34,113.3,112.3,111.7,110.5
2020-21,Miami Heat,40,32,108.1,108.0,110.6,110.7
2020-21,Milwaukee Bucks,46,26,120.1,114.2,116.5,110.7
2020-21,Minnesota Timberwolves,23,49,112.1,117.7,109.3,114.5
2020-21,New Orleans Pelicans,31,41,114.6,114.9,113.0,113.3
2020-21,New York Knicks,41,31,107.0,104.7,110.2,107.8
2020-21,Oklahoma City Thunder,22,50,105.0,115.6,102.8,113.4
2020-21,Orlando Magic,21,51,104.0,113.3,104.6,113.9
2020-21,Philadelphia 76ers,49,23,113.6,108.1,112.5,107.0
2020-21,Phoenix Suns,51,21,115.3,109.5,116.3,110.4
2020-21,Portland Trail Blazers,42,30,116.1,114.3,117.1,115.3
2020-21,Sacramento Kings,31,41,113.7,117.4,112.7,116.5
2020-21,San Antonio Spurs,33,39,111.1,112.8,110.5,112.0
2020-21,Toronto Raptors,27,45,111.3,111.7,111.6,112.0
2020-21,Utah Jazz,52,20,116.4,107.2,116.5,107.5
2020-21,Washington Wizards,34,38,116.6,118.5,110.7,112.3
2021-22,Atlanta Hawks,43,39,113.9,112.4,115.4,113.7
2021-22,Boston Celtics,51,31,111.8,104.5,113.6,106.2
2021-22,Brooklyn Nets,44,38,112.9,112.1,113.2,112.3
2021-22,Charlotte Hornets,43,39,115.3,114.9,113.6,113.1
2021-22,Chicago Bulls,46,36,111.6,112.0,112.7,113.2
2021-22,Cleveland Cavaliers,44,38,107.8,105.7,111.0,108.9
2021-22,Dallas Mavericks,52,30,108.0,104.7,112.5,109.1
2021-22,Denver Nuggets,48,34,112.7,110.4,113.8,111.5
2021-22,Detroit Pistons,23,59,104.8,112.5,105.6,113.3
2021-22,Golden State Warriors,53,29,111.0,105.5,112.1,106.6
2021-22,Houston Rockets,20,62,109.7,118.2,108.1,116.4
2021-22,Indiana Pacers,25,57,111.5,114.9,111.9,115.5
2021-22,LA Clippers,42,40,108.4,108.4,109.5,109.5
2021-22,Los Angeles Lakers,33,49,112.1,115.1,110.0,112.8
2021-22,Memphis Grizzlies,56,26,115.6,109.9,114.3,108.9
2021-22,Miami Heat,53,29,110.0,105.6,113.0,108.4
2021-22,Milwaukee Bucks,51,31,115.5,112.1,114.3,111.1
2021-22,Minnesota Timberwolves,46,36,115.9,113.3,113.8,111.0
2021-22,New Orleans Pelicans,36,46,109.3,110.3,111.2,112.0
2021-22,New York Knicks,37,45,106.5,106.6,109.7,110.2
2021-22,Oklahoma City Thunder,24,58,103.7,111.8,103.8,111.7
2021-22,Orlando Magic,22,60,104.2,112.2,103.9,112.1
2021-22,Philadelphia 76ers,51,31,109.9,107.3,113.0,110.2
2021-22,Phoenix Suns,64,18,114.8,107.3,114.2,106.8
2021-22,Portland Trail Blazers,27,55,106.2,115.1,107.3,116.3
2021-22,Sacramento Kings,30,52,110.3,115.8,109.6,114.8
2021-22,San Antonio Spurs,34,48,113.2,113.0,111.9,111.7
2021-22,Toronto Raptors,48,34,109.4,107.1,112.1,109.9
2021-22,Utah Jazz,49,33,113.6,107.6,116.2,110.0
2021-22,Washington Wizards,35,47,108.6,112.0,110.2,113.6
2022-23,Atlanta Hawks,41,41,118.4,118.1,115.5,115.4
2022-23,Boston Celtics,57,25,117.9,111.4,117.3,110.6
2022-23,Brooklyn Nets,45,37,113.4,112.5,114.6,113.5
2022-23,Charlotte Hornets,27,55,111.0,117.2,108.4,114.7
2022-23,Chicago Bulls,40,42,113.1,111.8,112.8,111.5
2022-23,Cleveland Cavaliers,51,31,112.3,106.9,115.5,109.9
2022-23,Dallas Mavericks,38,44,114.2,114.1,115.9,116.1
2022-23,Denver Nuggets,53,29,115.8,112.5,116.8,113.5
2022-23,Detroit Pistons,17,65,110.3,118.5,109.9,117.8
2022-23,Golden State Warriors,44,38,118.9,117.1,115.1,113.4
2022-23,Houston Rockets,22,60,110.7,118.6,110.5,118.6
2022-23,Indiana Pacers,35,47,116.3,119.5,113.8,117.1
2022-23,LA Clippers,44,38,113.6,113.1,114.0,113.6
2022-23,Los Angeles Lakers,43,39,117.2,116.6,113.9,113.2
2022-23,Memphis Grizzlies,51,31,116.9,113.0,114.7,110.7
2022-23,Miami Heat,44,38,109.5,109.8,112.3,112.8
2022-23,Milwaukee Bucks,58,24,116.9,113.3,114.3,110.9
2022-23,Minnesota Timberwolves,42,40,115.8,115.8,113.3,113.1
2022-23,New Orleans Pelicans,42,40,114.4,112.5,113.8,112.0
2022-23,New York Knicks,47,35,116.0,113.1,117.0,114.2
2022-23,Oklahoma City Thunder,40,42,117.5,116.4,114.2,113.2
2022-23,Orlando Magic,34,48,111.4,114.0,111.3,113.7
2022-23,Philadelphia 76ers,54,28,115.2,110.9,117.0,112.7
2022-23,Phoenix Suns,45,37,113.6,111.6,114.5,112.3
2022-23,Portland Trail Blazers,33,49,113.4,117.4,114.0,118.0
2022-23,Sacramento Kings,48,34,120.7,118.1,118.6,116.0
2022-23,San Antonio Spurs,22,60,113.0,123.1,109.7,119.6
2022-23,Toronto Raptors,41,41,112.9,111.4,114.6,113.1
2022-23,Utah Jazz,37,45,117.1,118.0,115.3,116.0
2022-23,Washington Wizards,35,47,113.2,114.4,113.7,114.9
2023-24,Atlanta Hawks,36,46,118.3,120.5,116.4,118.4
2023-24,Boston Celtics,64,18,120.6,109.2,122.2,110.6
2023-24,Brooklyn Nets,32,50,110.4,113.3,112.4,115.4
2023-24,Charlotte Hornets,21,61,106.6,116.8,108.6,119.2
2023-24,Chicago Bulls,39,43,112.3,113.7,114.0,115.7
2023-24,Cleveland Cavaliers,48,34,112.6,110.2,114.7,112.1
2023-24,Dallas Mavericks,50,32,117.9,115.6,117.0,114.9
2023-24,Denver Nuggets,57,25,114.9,109.6,117.8,112.3
2023-24,Detroit Pistons,14,68,109.9,119.0,109.0,118.0
2023-24,Golden State Warriors,46,36,117.8,115.2,116.9,114.5
2023-24,Houston Rockets,41,41,114.3,113.2,113.7,112.8
2023-24,Indiana Pacers,46,35,123.2,120.3,120.5,117.6
2023-24,LA Clippers,51,31,115.6,112.3,117.9,114.6
2023-24,Los Angeles Lakers,46,35,117.9,117.8,115.2,115.2
2023-24,Memphis Grizzlies,27,55,105.8,112.8,106.8,113.7
2023-24,Miami Heat,46,36,110.1,108.4,113.3,111.5
2023-24,Milwaukee Bucks,49,32,119.0,116.2,117.7,114.9
2023-24,Minnesota Timberwolves,56,26,113.0,106.5,114.6,108.4
2023-24,New Orleans Pelicans,49,32,115.4,110.4,116.9,111.7
2023-24,New York Knicks,50,32,112.8,108.2,117.3,112.4
2023-24,Oklahoma City Thunder,57,25,120.1,112.7,118.3,111.0
2023-24,Orlando Magic,47,35,110.5,108.4,112.9,110.8
2023-24,Philadelphia 76ers,47,35,114.6,111.5,116.2,113.0
2023-24,Phoenix Suns,49,33,116.2,113.2,116.8,113.7
2023-24,Portland Trail Blazers,21,61,106.4,115.4,107.6,116.6
2023-24,Sacramento Kings,46,36,116.6,114.8,116.2,114.4
2023-24,San Antonio Spurs,22,60,112.1,118.6,109.3,115.6
2023-24,Toronto Raptors,25,57,112.4,118.8,111.8,118.1
2023-24,Utah Jazz,31,51,115.7,120.5,114.5,119.6
2023-24,Washington Wizards,15,67,113.7,123.0,110.2,118.9
2024-25,Atlanta Hawks,40,41,118.4,119.4,113.9,114.9
2024-25,Boston Celtics,61,21,116.3,107.2,119.5,110.1
2024-25,Brooklyn Nets,26,56,105.1,112.2,108.1,115.4
2024-25,Charlotte Hornets,19,63,105.1,114.2,106.7,115.7
2024-25,Chicago Bulls,39,43,117.8,119.4,113.2,114.8
2024-25,Cleveland Cavaliers,64,18,121.9,112.4,121.0,111.8
2024-25,Dallas Mavericks,39,43,114.2,115.4,113.7,115.0
2024-25,Denver Nuggets,50,32,120.8,116.9,118.9,115.1
2024-25,Detroit Pistons,44,38,115.5,113.6,114.6,112.5
2024-25,Golden State Warriors,48,34,113.8,110.5,114.2,111.0
2024-25,Houston Rockets,52,29,114.5,109.8,115.1,110.2
2024-25,Indiana Pacers,50,32,117.4,115.1,115.4,113.3
2024-25,LA Clippers,50,32,112.9,108.2,114.3,109.4
2024-25,Los Angeles Lakers,50,32,113.4,112.2,115.0,113.8
2024-25,Memphis Grizzlies,48,34,121.7,116.9,117.2,112.6
2024-25,Miami Heat,37,45,110.6,110.0,112.4,112.0
2024-25,Milwaukee Bucks,47,34,115.6,113.2,115.3,112.9
2024-25,Minnesota Timberwolves,49,33,114.3,109.3,115.7,110.8
2024-25,New Orleans Pelicans,21,61,109.8,119.3,109.7,119.1
2024-25,New York Knicks,51,31,115.8,111.7,117.3,113.3
2024-25,Oklahoma City Thunder,67,14,120.6,107.8,119.3,106.7
2024-25,Orlando Magic,41,41,105.4,105.5,108.9,109.1
2024-25,Philadelphia 76ers,24,58,109.6,115.8,111.0,117.3
2024-25,Phoenix Suns,36,46,113.6,116.6,114.7,117.7
2024-25,Portland Trail Blazers,36,46,110.9,113.9,111.0,113.7
2024-25,Sacramento Kings,40,42,115.7,115.3,115.9,115.3
2024-25,San Antonio Spurs,34,48,113.9,116.7,113.5,116.3
2024-25,Toronto Raptors,30,52,110.9,115.2,109.6,113.6
2024-25,Utah Jazz,17,65,111.9,121.2,110.2,119.4
2024-25,Washington Wizards,18,64,108.0,120.4,105.8,118.0
2025-26,Atlanta Hawks,33,31,117.7,117.3,114.1,113.7
2025-26,Boston Celtics,42,21,114.5,107.0,119.9,111.7
2025-26,Brooklyn Nets,16,47,106.9,115.6,109.6,118.3
2025-26,Charlotte Hornets,32,32,116.2,112.5,117.8,114.1
2025-26,Chicago Bulls,26,37,115.5,119.7,112.2,116.6
2025-26,Cleveland Cavaliers,39,24,119.1,114.9,117.4,113.1
2025-26,Dallas Mavericks,21,42,113.3,117.7,109.8,114.0
2025-26,Denver Nuggets,39,25,120.2,116.5,120.0,116.3
2025-26,Detroit Pistons,45,17,116.8,109.6,116.1,108.7
2025-26,Golden State Warriors,32,31,115.0,113.9,114.1,112.9
2025-26,Houston Rockets,39,23,114.5,109.3,116.8,111.6
2025-26,Indiana Pacers,15,48,111.4,119.9,108.7,117.0
2025-26,LA Clippers,31,32,112.6,112.2,115.6,115.3
2025-26,Los Angeles Lakers,38,25,116.0,115.3,116.5,116.1
2025-26,Memphis Grizzlies,23,39,115.7,117.8,113.5,115.8
2025-26,Miami Heat,35,29,120.1,116.6,114.7,111.5
2025-26,Milwaukee Bucks,27,35,111.4,115.5,112.7,116.7
2025-26,Minnesota Timberwolves,40,24,118.6,114.5,116.1,112.2
2025-26,New Orleans Pelicans,20,45,115.2,120.2,112.8,117.8
2025-26,New York Knicks,40,23,117.0,110.5,118.3,111.7
2025-26,Oklahoma City Thunder,50,14,118.8,107.5,117.2,106.0
2025-26,Orlando Magic,34,27,114.8,113.7,113.7,112.7
2025-26,Philadelphia 76ers,34,29,115.8,116.1,114.3,114.6
2025-26,Phoenix Suns,36,27,112.1,111.2,113.4,112.5
2025-26,Portland Trail Blazers,30,34,115.1,118.1,112.4,115.5
2025-26,Sacramento Kings,14,50,110.4,121.3,109.6,120.2
2025-26,San Antonio Spurs,45,17,118.3,111.4,117.3,110.2
2025-26,Toronto Raptors,35,27,113.5,112.0,113.7,112.2
2025-26,Utah Jazz,19,45,117.4,125.0,113.2,120.5
2025-26,Washington Wizards,16,46,112.2,123.0,109.5,120.3
