-11.978,-0.629
0.382,15.34
-6.925,1.976
-3.861,11.206
8.637,11.146
-5.116,3.951
7.774,0.564
-8.006,1.081
-13.983,-14.384
13.977,-4.663
0.937,-2.312
-10.109,-4.512
0.607,1.961
4.683,-4.195
4.145,7.485
-5.619,-11.645
-7.175,-4.796
-1.29,-6.486
-11.826,3.572
2.753,5.357
8.243,2.908
5.496,8.708
3.712,7.211
-10.95,-11.119
-4.169,-8.811
2.326,3.217
16.459,-4.629
1.408,-1.301
8.251,0.933
-0.629,8.731
15.34,3.549
11.206,1.955
11.146,0.397
3.951,2.97
0.564,-12.5
1.081,6.992
-14.384,-3.603
-4.663,11.984
-2.312,-10.689
-4.512,-18.446
1.961,8.378
-1.301,-3.135
-4.195,-11.528
7.485,1.901
-11.645,12.174
-4.796,-22.336
-6.486,-5.005
3.572,1.246
5.357,1.237
2.908,19.533
8.708,-3.721
7.211,-3.962
-11.119,-3.469
-8.811,2.024
3.217,3.803
-4.629,1.067
0.933,-0.158
8.731,-11.996
3.549,-2.429
1.955,-10.36
0.397,-1.44
2.97,-19.292
-12.5,12.738
6.992,2.825
-3.603,-10.756
11.984,-1.799
-10.689,12.297
-18.446,-7.839
8.378,13.63
-3.135,7.435
-11.528,10.599
1.901,-3.97
12.174,5.31
-22.336,-2.543
3.522,1.693
-5.005,12.543
1.246,5.223
1.237,-5.719
19.533,-10.157
-3.721,4.095
-3.962,3.1
-3.469,-9.668
2.024,3.684
3.803,-1.032
1.067,12.585
-0.158,-6.792
-11.996,-4.818
-2.429,2.645
-10.36,8.237
-1.44,-8.99
-19.292,10.572
12.738,8.545
2.825,3.688
-10.756,9.025
-1.799,-13.232
12.297,8.049
-7.839,-4.693
13.63,5.952
7.435,7.881
10.599,4.316
-3.97,-0.027
5.31,10.619
-2.543,5.796
1.693,-11.868
12.543,-12.378
5.223,-7.281
-5.719,1.568
-10.157,5.871
4.095,-9.7
3.1,-1.939
-9.668,-9.641
3.684,12.071
-1.032,7.914
12.585,-6.705
-6.792,0.187
-4.818,-6.09
2.645,-5.882
-9.941,5.207
