season,season_start_year,franchise_id,team,all_games,all_minutes,all_possessions,all_opp_possessions,all_pts,all_opp_pts,all_off_rating,all_def_rating,all_net_rating,clutch_games,clutch_minutes,clutch_possessions,clutch_opp_possessions,clutch_pts,clutch_opp_pts,clutch_off_rating,clutch_def_rating,clutch_net_rating,non_clutch_games,non_clutch_minutes,non_clutch_possessions,non_clutch_opp_possessions,non_clutch_pts,non_clutch_opp_pts,non_clutch_off_rating,non_clutch_def_rating,non_clutch_net_rating,clutch_minus_non_clutch_net,clutch_minus_all_net,clutch_time_pct,clutch_poss_pct
2019-20,2019,1610612751,BKN,72,17480.0,7404.0,7410.0,8048.0,8089.0,108.698,109.163,-0.465,40,803.0,366.0,361.0,404.0,387.0,110.383,107.202,3.18,72,16677.0,7038.0,7049.0,7644.0,7702.0,108.61,109.264,-0.653,3.834,3.646,4.594,4.943
2019-20,2019,1610612738,BOS,72,17430.0,7255.0,7259.0,8183.0,7729.0,112.791,106.475,6.316,42,659.0,312.0,303.0,358.0,337.0,114.744,111.221,3.522,72,16771.0,6943.0,6956.0,7825.0,7392.0,112.703,106.268,6.435,-2.913,-2.794,3.781,4.3
2019-20,2019,1610612766,CHA,65,15750.0,6317.0,6315.0,6687.0,7126.0,105.857,112.842,-6.985,34,684.0,295.0,293.0,355.0,324.0,120.339,110.58,9.759,65,15066.0,6022.0,6022.0,6332.0,6802.0,105.148,112.953,-7.805,17.563,16.744,4.343,4.67
2019-20,2019,1610612741,CHI,65,15675.0,6563.0,6559.0,6945.0,7145.0,105.821,108.934,-3.114,38,553.0,230.0,249.0,245.0,317.0,106.522,127.309,-20.787,65,15122.0,6333.0,6310.0,6700.0,6828.0,105.795,108.209,-2.414,-18.373,-17.674,3.528,3.504
2019-20,2019,1610612739,CLE,65,15725.0,6497.0,6499.0,6948.0,7461.0,106.942,114.802,-7.861,29,601.0,258.0,258.0,267.0,284.0,103.488,110.078,-6.589,65,15124.0,6239.0,6241.0,6681.0,7177.0,107.084,114.998,-7.913,1.324,1.271,3.822,3.971
2019-20,2019,1610612742,DAL,75,18175.0,7569.0,7560.0,8776.0,8405.0,115.947,111.177,4.769,41,733.0,344.0,332.0,342.0,357.0,99.419,107.53,-8.112,75,17442.0,7225.0,7228.0,8434.0,8048.0,116.734,111.345,5.389,-13.5,-12.881,4.033,4.545
2019-20,2019,1610612743,DEN,73,17745.0,7217.0,7222.0,8124.0,7970.0,112.568,110.357,2.21,45,789.0,351.0,347.0,416.0,357.0,118.519,102.882,15.637,73,16956.0,6866.0,6875.0,7708.0,7613.0,112.263,110.735,1.529,14.108,13.426,4.446,4.864
2019-20,2019,1610612765,DET,66,15965.0,6507.0,6512.0,7078.0,7313.0,108.775,112.3,-3.525,30,556.0,234.0,245.0,213.0,283.0,91.026,115.51,-24.485,66,15409.0,6273.0,6267.0,6865.0,7030.0,109.437,112.175,-2.738,-21.747,-20.959,3.483,3.596
2019-20,2019,1610612744,GSW,65,15725.0,6623.0,6618.0,6912.0,7478.0,104.364,112.995,-8.631,27,455.0,208.0,217.0,214.0,271.0,102.885,124.885,-22.0,65,15270.0,6415.0,6401.0,6698.0,7207.0,104.412,112.592,-8.18,-13.82,-13.369,2.893,3.141
2019-20,2019,1610612745,HOU,72,17380.0,7539.0,7529.0,8482.0,8269.0,112.508,109.829,2.68,31,498.0,248.0,232.0,287.0,225.0,115.726,96.983,18.743,72,16882.0,7291.0,7297.0,8195.0,8044.0,112.399,110.237,2.162,16.581,16.063,2.865,3.29
2019-20,2019,1610612754,IND,73,17620.0,7299.0,7298.0,7989.0,7846.0,109.453,107.509,1.944,36,692.0,301.0,283.0,322.0,275.0,106.977,97.173,9.804,73,16928.0,6998.0,7015.0,7667.0,7571.0,109.56,107.926,1.634,8.17,7.859,3.927,4.124
2019-20,2019,1610612746,LAC,72,17380.0,7396.0,7400.0,8377.0,7913.0,113.264,106.932,6.331,31,580.0,269.0,266.0,312.0,288.0,115.985,108.271,7.714,72,16800.0,7127.0,7134.0,8065.0,7625.0,113.161,106.883,6.279,1.436,1.383,3.337,3.637
2019-20,2019,1610612747,LAL,71,17090.0,7211.0,7201.0,8054.0,7643.0,111.69,106.138,5.552,30,537.0,243.0,233.0,261.0,237.0,107.407,101.717,5.691,71,16553.0,6968.0,6968.0,7793.0,7406.0,111.84,106.286,5.554,0.137,0.138,3.142,3.37
2019-20,2019,1610612763,MEM,73,17570.0,7562.0,7565.0,8222.0,8300.0,108.728,109.716,-0.988,30,457.0,218.0,217.0,218.0,252.0,100.0,116.129,-16.129,73,17113.0,7344.0,7348.0,8004.0,8048.0,108.987,109.526,-0.539,-15.59,-15.141,2.601,2.883
2019-20,2019,1610612748,MIA,73,17745.0,7306.0,7289.0,8179.0,7964.0,111.949,109.261,2.689,36,691.0,315.0,305.0,309.0,351.0,98.095,115.082,-16.987,73,17054.0,6991.0,6984.0,7870.0,7613.0,112.573,109.006,3.567,-20.554,-19.675,3.894,4.312
2019-20,2019,1610612749,MIL,73,17595.0,7739.0,7732.0,8663.0,7927.0,111.94,102.522,9.418,24,331.0,178.0,161.0,196.0,148.0,110.112,91.925,18.187,73,17264.0,7561.0,7571.0,8467.0,7779.0,111.983,102.747,9.235,8.952,8.769,1.881,2.3
2019-20,2019,1610612750,MIN,64,15560.0,6736.0,6742.0,7248.0,7523.0,107.601,111.584,-3.983,33,516.0,214.0,241.0,226.0,281.0,105.607,116.598,-10.99,64,15044.0,6522.0,6501.0,7022.0,7242.0,107.666,111.398,-3.732,-7.258,-7.007,3.316,3.177
2019-20,2019,1610612740,NOP,72,17430.0,7548.0,7542.0,8341.0,8434.0,110.506,111.827,-1.321,41,650.0,288.0,303.0,269.0,363.0,93.403,119.802,-26.399,72,16780.0,7260.0,7239.0,8072.0,8071.0,111.185,111.493,-0.309,-26.09,-25.078,3.729,3.816
2019-20,2019,1610612752,NYK,66,15965.0,6594.0,6592.0,6983.0,7409.0,105.899,112.394,-6.495,34,627.0,270.0,284.0,287.0,291.0,106.296,102.465,3.832,66,15338.0,6324.0,6308.0,6696.0,7118.0,105.882,112.841,-6.958,10.79,10.326,3.927,4.095
2019-20,2019,1610612760,OKC,72,17430.0,7218.0,7223.0,7950.0,7807.0,110.141,108.085,2.056,45,878.0,398.0,395.0,481.0,373.0,120.854,94.43,26.424,72,16552.0,6820.0,6828.0,7469.0,7434.0,109.516,108.875,0.641,25.783,24.368,5.037,5.514
2019-20,2019,1610612753,ORL,73,17570.0,7255.0,7239.0,7831.0,7905.0,107.939,109.2,-1.261,34,561.0,254.0,258.0,243.0,270.0,95.669,104.651,-8.982,73,17009.0,7001.0,6981.0,7588.0,7635.0,108.385,109.368,-0.984,-7.998,-7.721,3.193,3.501
2019-20,2019,1610612755,PHI,73,17595.0,7304.0,7298.0,8084.0,7910.0,110.679,108.386,2.293,43,603.0,280.0,279.0,305.0,289.0,108.929,103.584,5.344,73,16992.0,7024.0,7019.0,7779.0,7621.0,110.749,108.577,2.172,3.172,3.051,3.427,3.834
2019-20,2019,1610612756,PHX,73,17595.0,7449.0,7469.0,8294.0,8278.0,111.344,110.831,0.512,37,601.0,301.0,297.0,332.0,329.0,110.299,110.774,-0.475,73,16994.0,7148.0,7172.0,7962.0,7949.0,111.388,110.834,0.554,-1.029,-0.988,3.416,4.041
2019-20,2019,1610612757,POR,74,17835.0,7519.0,7518.0,8508.0,8593.0,113.153,114.299,-1.146,36,614.0,285.0,286.0,334.0,318.0,117.193,111.189,6.004,74,17221.0,7234.0,7232.0,8174.0,8275.0,112.994,114.422,-1.428,7.432,7.15,3.443,3.79
2019-20,2019,1610612758,SAC,72,17455.0,7239.0,7249.0,7927.0,8074.0,109.504,111.381,-1.877,39,645.0,290.0,293.0,322.0,333.0,111.034,113.652,-2.617,72,16810.0,6949.0,6956.0,7605.0,7741.0,109.44,111.285,-1.845,-0.772,-0.741,3.695,4.006
