season,phase,game_id,home_team,road_team,source_consistent_mismatch,parser_diff_stats,source_consistent_diff_stats,output_file
2002-03,playoffs,0040200135,PHI,NOH,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2002-03/2002-03_PHI_NOH_0040200135.json
2002-03,playoffs,0040200153,UTA,SAC,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2002-03/2002-03_UTA_SAC_0040200153.json
2002-03,playoffs,0040200173,LAL,MIN,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2002-03/2002-03_LAL_MIN_0040200173.json
2002-03,playoffs,0040200176,LAL,MIN,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2002-03/2002-03_LAL_MIN_0040200176.json
2002-03,playoffs,0040200202,DET,PHI,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2002-03/2002-03_DET_PHI_0040200202.json
2002-03,playoffs,0040200232,DAL,SAC,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2002-03/2002-03_DAL_SAC_0040200232.json
2002-03,playoffs,0040200235,DAL,SAC,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2002-03/2002-03_DAL_SAC_0040200235.json
2002-03,playoffs,0040200236,SAC,DAL,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2002-03/2002-03_SAC_DAL_0040200236.json
2002-03,playoffs,0040200237,DAL,SAC,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2002-03/2002-03_DAL_SAC_0040200237.json
2002-03,playoffs,0040200313,DAL,SAS,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2002-03/2002-03_DAL_SAS_0040200313.json
2002-03,playoffs,0040200403,NJN,SAS,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2002-03/2002-03_NJN_SAS_0040200403.json
2002-03,playoffs,0040200405,NJN,SAS,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2002-03/2002-03_NJN_SAS_0040200405.json
2002-03,regular,0020200053,CLE,LAL,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2002-03/2002-03_CLE_LAL_0020200053.json
2002-03,regular,0020200162,DEN,UTA,False,pf,,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2002-03/2002-03_DEN_UTA_0020200162.json
2002-03,regular,0020200286,DEN,IND,False,"ftm,pf",,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2002-03/2002-03_DEN_IND_0020200286.json
2002-03,regular,0020200291,SAS,SAC,False,fta,,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2002-03/2002-03_SAS_SAC_0020200291.json
2003-04,playoffs,0040300101,IND,BOS,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_IND_BOS_0040300101.json
2003-04,playoffs,0040300112,NJN,NYK,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_NJN_NYK_0040300112.json
2003-04,playoffs,0040300121,DET,MIL,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_DET_MIL_0040300121.json
2003-04,playoffs,0040300122,DET,MIL,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_DET_MIL_0040300122.json
2003-04,playoffs,0040300131,MIA,NOH,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_MIA_NOH_0040300131.json
2003-04,playoffs,0040300132,MIA,NOH,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_MIA_NOH_0040300132.json
2003-04,playoffs,0040300133,NOH,MIA,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_NOH_MIA_0040300133.json
2003-04,playoffs,0040300134,NOH,MIA,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_NOH_MIA_0040300134.json
2003-04,playoffs,0040300137,MIA,NOH,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_MIA_NOH_0040300137.json
2003-04,playoffs,0040300143,DEN,MIN,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_DEN_MIN_0040300143.json
2003-04,playoffs,0040300151,LAL,HOU,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_LAL_HOU_0040300151.json
2003-04,playoffs,0040300152,LAL,HOU,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_LAL_HOU_0040300152.json
2003-04,playoffs,0040300173,DAL,SAC,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_DAL_SAC_0040300173.json
2003-04,playoffs,0040300175,SAC,DAL,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_SAC_DAL_0040300175.json
2003-04,playoffs,0040300211,DET,NJN,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_DET_NJN_0040300211.json
2003-04,playoffs,0040300213,NJN,DET,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_NJN_DET_0040300213.json
2003-04,playoffs,0040300215,DET,NJN,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_DET_NJN_0040300215.json
2003-04,playoffs,0040300216,NJN,DET,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_NJN_DET_0040300216.json
2003-04,playoffs,0040300233,LAL,SAS,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_LAL_SAS_0040300233.json
2003-04,playoffs,0040300234,LAL,SAS,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_LAL_SAS_0040300234.json
2003-04,playoffs,0040300235,SAS,LAL,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_SAS_LAL_0040300235.json
2003-04,playoffs,0040300301,IND,DET,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_IND_DET_0040300301.json
